59211685,14
46379136,90
62913018,47
35157781,1
55413253,75
95782229,64
26975215,65
89836714,11
74789454,30
67205474,92
29603856,39
71691224,59
61612148,70
11603507,25
75462235,95
75462235,75
71778542,54
10810116,14
90371944,88
35202222,52
73005277,31
69898095,15
76541685,7
77673096,68
32662266,93
15373796,65
15132248,89
29013992,32
78816789,63
24575381,98
97749156,62
46999822,22
76678412,99
48404171,89
16499992,25
53986498,68
95999967,47
30386087,23
34396605,43
75033242,31
55067630,80
17328693,55
59730668,8
75646281,0
48254806,9
26777539,39
36259349,46
36444935,81
11099223,35
34923952,16
